Date,Symbol,ROC130,ADRP20
20231110,AAOI,420,7.62
20231110,SLNO,409.26,5.94
20231110,VRT,174.12,5.78
20231110,USM,167.65,4.33
20231110,APP,152.68,5.06
20231110,TDS,149.24,5.07
20231110,CVNA,146.33,7.82
20231110,GRPN,140.33,7.9
20231110,CUBI,139.77,4.57
20231110,CLS,133.55,4.57
20231110,CAMT,131.51,5.16
20231110,TNGX,128.42,7.82
20231110,MOD,121.7,5.3
20231110,OLMA,117.74,10.36
20231110,CRDO,111.74,4.77
20231110,PLTR,105.97,5.26
20231110,UEC,104.35,5.22
20231110,SMCI,101.16,6.56
20231110,BHVN,96.97,5.87
20231110,BBIO,96.95,4.78
20231110,AFRM,82.36,7.66
20231110,UPWK,73.37,5.21
20231110,METC,73.31,6.58
20231110,EDU,72.04,4.08
20231110,IMVT,71.65,4.46
20231110,ACMR,71.33,9.44
20231110,TAL,69.68,5.57
20231110,PETQ,69.4,4.24
20231110,LPG,68.48,4.34
20231110,MSTR,67.83,5.97
20231110,IONQ,67.08,7.31
20231110,ALKT,66.75,5.38
20231110,RYTM,66.34,6.59
20231110,COUR,63.4,4.43
20231110,MNSO,63.37,4.48
20231110,CELH,61.02,5.5
20231110,VERA,58.9,9.28
20231110,ONTO,58.71,4.31
20231110,DUOL,57.51,5.77
20231110,STRL,55.08,4.44
20231110,COIN,54.33,6.55
20231110,XPEV,51.24,5.08
20231110,MDB,50.59,4.46
20231110,CABA,50.38,8.16
20231110,UDMY,50.23,5.89
20231110,VNO,49.27,4.85
20231110,ROKU,46.72,5.5
20231110,NXE,43.99,4.65
20231110,DKNG,43.68,5.01
20231110,GTLB,43.53,5.47
20231110,NUVL,42.8,4.58
20231110,DBRG,41.89,4.37
20231110,SAIA,39.38,4.04
20231110,SNAP,36.88,5
20231110,FUTU,35.93,4.52
20231110,FORM,34.71,4.7
20231110,PUMP,34.16,4.22
20231110,WDC,33.93,4.27
20231110,NET,33.79,4.72
20231110,ARCB,33.37,4.05
20231110,MQ,32.51,5.75
20231110,TEAM,32.4,4.34
20231110,RMBS,32.03,4.97
20231110,IDYA,32.03,6.1
20231110,DBI,31.96,4.81
20231110,NMRK,31.66,4.55
20231110,AZUL,31.5,5.21
20231110,RXST,31.32,5.34
20231110,LZ,30.37,4.2
20231110,DDOG,30.23,4.31
