Date,Symbol,ROC65,ADRP20
20240105,STTK,494.24,15.36
20240105,LBPH,450.22,10.87
20240105,NKTX,355.64,11.38
20240105,ALT,345.82,15.27
20240105,CCCC,302.52,21.09
20240105,CYTK,246.51,7.91
20240105,MARA,219.89,11.14
20240105,AUTL,186.76,7.42
20240105,CLSK,181.27,11.03
20240105,EYPT,157.58,8.65
20240105,TGTX,153.55,5.95
20240105,AFRM,140.28,7.2
20240105,SRRK,138.4,7.47
20240105,AAOI,126.15,9.88
20240105,GCT,125.39,10.25
20240105,ARVN,124.39,5.6
20240105,DYN,116.13,9.36
20240105,TREE,109.77,6.85
20240105,COIN,109.58,6.32
20240105,METC,108.8,5.91
20240105,IOVA,107.09,8.35
20240105,INBX,99.55,6.64
20240105,ASPN,97.54,6.49
20240105,ALXO,97.34,7.77
20240105,MSTR,96.97,5.03
20240105,LQDA,96.89,6.84
20240105,ZIMV,91.28,6.19
20240105,BVN,87.14,4.84
20240105,IREN,86.45,13.42
20240105,XMTR,86.09,5.59
20240105,RYTM,85.83,5.75
20240105,BHVN,85.74,5.52
20240105,KURA,84.05,5.34
20240105,TWST,81.81,6.64
20240105,BPMC,79.43,4.01
20240105,LPG,78.23,4.69
20240105,KYMR,76.84,7.45
20240105,SNDX,76.73,4.87
20240105,BIG,75.18,8.31
20240105,VRCA,75,10.72
20240105,FFWM,73.04,5.76
20240105,VSCO,72.09,4.94
20240105,BYON,69.73,5.35
20240105,VKTX,69.52,6.39
20240105,CDNA,68.41,6.75
20240105,EWTX,68.22,8.48
20240105,CENX,68.2,6.16
20240105,SDIG,67.99,16.68
20240105,RXRX,66.62,7.68
20240105,RKT,65.75,4.29
20240105,AMCX,65.37,5.92
20240105,SWTX,64.19,5.5
20240105,RIOT,63.69,8
20240105,FDMT,62.44,6.52
20240105,MDGL,62.26,5.39
20240105,SBH,61.4,4.16
20240105,HPP,59.31,5.47
20240105,OSCR,58.35,4.49
20240105,POLC,57.89,29.13
20240105,DFH,57.07,4.24
20240105,BBIO,56.91,5.41
20240105,RAPT,56.75,5.91
20240105,KROS,56.21,7.77
20240105,RUN,53.32,7.29
20240105,ARDX,52.48,4.99
20240105,ZIM,52.3,8.74
20240105,ACLX,51.92,5.43
20240105,CABA,50.98,6.22
20240105,RCKT,50.8,4.31
20240105,ASND,50.66,4.03
20240105,LC,50.44,4.23
20240105,OUST,50,6.91
20240105,VRDN,49.86,6.28
20240105,ARWR,49.77,5.75
20240105,CLDX,49.74,4.1
20240105,NRIX,49.32,6.89
20240105,CTKB,48.62,5.2
20240105,GLP,48.48,5.19
20240105,SLNO,46.43,5.86
20240105,CRSP,45.77,6.74
20240105,YPF,45.72,4.12
20240105,IMCR,45.46,5.09
20240105,TAL,45.12,5.67
20240105,GTN,42.81,4.6
20240105,AMRX,42.62,5.49
20240105,S,42.59,4.45
20240105,LMND,42.18,6.11
20240105,ACAD,40.94,5
20240105,AMPS,40.86,5.48
20240105,LOVE,40.64,4.46
20240105,ANVS,40,14.08
20240105,BMA,39.81,5.88
20240105,SANA,39.34,8.59
20240105,RARE,39.02,4.45
20240105,AMPH,36.72,4.06
20240105,PTGX,36.61,4.04
20240105,TNDM,36.61,5
20240105,SYM,36.28,6.66
20240105,CRNX,35.68,4.19
20240105,BOWL,35.02,4.85
