Date,Symbol,ROC65,ADRP20
20231117,DRCT,170.46,9.73
20231117,METC,111.25,7.53
20231117,GPCR,95.31,7.88
20231117,SRRK,89.53,8.92
20231117,CRNX,85.01,5.65
20231117,OLMA,81.21,9.92
20231117,ASPN,80.03,7.1
20231117,AFRM,74.33,7.33
20231117,IMVT,72.64,4.42
20231117,UEC,71.89,4.86
20231117,DUOL,67.17,5.67
20231117,LPG,58.77,4.41
20231117,ACLX,58.19,6.97
20231117,BHVN,56.56,5.91
20231117,ALKT,49.41,4.69
20231117,CABA,47.21,7.32
20231117,CECO,46.92,4.33
20231117,DKNG,45.51,4.98
20231117,PLTR,44.81,4.76
20231117,CRSP,44.17,7.55
20231117,RCKT,43.18,5.73
20231117,NEO,42.09,5.3
20231117,TAL,40.53,5.82
20231117,MSTR,40.2,5.75
20231117,DAVA,38.07,4.53
20231117,CAMT,37.82,4.7
20231117,RYTM,37.76,6.81
20231117,RBLX,36.12,4.69
20231117,INBX,35.09,8.69
20231117,ACMR,35.06,8.35
20231117,UUUU,34.82,4.56
20231117,CLS,34.66,4.36
20231117,UDMY,34.47,5.61
20231117,NXE,34.32,4.29
20231117,SNAP,31.53,4.82
20231117,MIRM,31.22,4.69
20231117,VRT,31.22,5.1
20231117,BPMC,31.1,5.53
20231117,COIN,31.09,6.41
20231117,LGF.A,30.64,5.19
20231117,MNSO,30.57,4.71
20231117,VERX,30.14,4.99
